fecha	hora	real	programado	desviacion	porcentaje
2020-04-30	1	8602,4161379226	8616,52948499935	14,1133470767491	0,16379386969335212200
2020-04-30	2	8304,8244571863	8301,27682400934	-3,54763317696052	-0,04273599413887620100
2020-04-30	3	8027,5882859625	8040,55616062934	12,9678746668405	0,16128081699544394800
2020-04-30	4	7900,29204149059	7936,28949053935	35,9974490487593	0,45358034244681911700
2020-04-30	5	7822,5877021714	7920,85416779935	98,2664656279494	1,24060440384614177100
2020-04-30	6	7805,7697658334	7892,00190350935	86,2321376759501	1,09265226656376131500
2020-04-30	7	7971,9065157512	8065,31114429934	93,4046285481409	1,15810322598850296500
2020-04-30	8	8185,4071403672	8182,21004993934	-3,19709042785962	-0,03907367824031017300
2020-04-30	9	8670,61685136831	8553,69657313934	-116,92027822897	-1,36689765914923534700
2020-04-30	10	9097,75483721911	8945,34087034936	-152,41396686975	-1,70383632193322418800
2020-04-30	11	9243,2177832169	9233,93069189934	-9,28709131755932	-0,10057570960226738800
2020-04-30	12	9195,539876266	9369,06680927934	173,52693301334	1,85212611400609205400
2020-04-30	13	9288,787089138	9440,47095290934	151,683863771339	1,60674043199712889200
2020-04-30	14	9357,2987736187	9458,47687701934	101,17810340064	1,06970820689392396800
2020-04-30	15	9408,7561600029	9505,36579698935	96,6096369864499	1,01636948066795312400
2020-04-30	16	9290,4117384869	9495,63082235935	205,219083872449	2,16119484541479730200
2020-04-30	17	9141,93568621189	9430,93734495935	289,00165874746	3,06440015638451554900
2020-04-30	18	8950,942333782	9306,26366890935	355,32133512735	3,81808798642164387100
2020-04-30	19	9356,24678330403	9631,09129464935	274,84451134532	2,85372137940393777600
2020-04-30	20	9540,3883617184	9883,61492813935	343,22656642095	3,47268250449296355800
2020-05-01	1	8090,7909453076	7996,55542365935	-94,2355216482501	-1,17845142884192551000
2020-05-01	2	7730,3545977325	7826,17368043935	95,8190827068502	1,22434137829498126000
2020-05-01	3	7473,4130254883	7592,39295691935	118,979931431049	1,56709395978531754100
2020-05-01	4	7319,8579854123	7387,86692260935	68,0089371970498	0,92054902869080719600
2020-05-01	5	7279,947765734	7276,70494526935	-3,24282046465032	-0,04456440777853039300
2020-05-01	6	7245,3770807741	7240,85980982935	-4,51727094475063	-0,06238583625964568200
2020-05-01	7	7278,7385273946	7340,51208424935	61,7735568547496	0,84154288073849880000
2020-05-01	8	7148,8650045153	7199,02468380935	50,15967929405	0,69675659547132018800
2020-05-01	9	7237,3742604661	7036,28356325934	-201,090697206761	-2,85791064841070696000
2020-05-01	10	7404,5627386667	7266,71415627934	-137,84858238736	-1,89698644287861208200
2020-05-01	11	7703,76377956799	7657,97265576935	-45,79112379864	-0,59795360804980105900
2020-05-01	12	7980,5574918905	7906,77081459934	-73,7866772911602	-0,93320875261640164500
2020-05-01	13	8185,3304846386	8095,05984503935	-90,27063959925	-1,11513245519201217700
2020-05-01	14	8346,0869523387	8263,03057423934	-83,0563780993598	-1,00515636912072811100
2020-05-01	15	8159,3344131839	8304,45520682934	145,120793645439	1,74750528518831581600
2020-05-01	16	8054,2742695679	8177,55939582934	123,28512626144	1,50760294476512140000
2020-05-01	17	7934,1298845776	8251,53821594935	317,408331371749	3,84665650288369617000
2020-05-01	18	8022,52510747291	8379,86062120935	357,335513736439	4,26421786577244624000
2020-05-01	19	8756,05720414669	8734,77918015935	-21,2780239873391	-0,24360116665194187000
2020-05-01	20	8978,3633911388	9077,65454190935	99,2911507705503	1,09379741553445235000
